keys,en,de
GGJ2026_DIALOG_COFFE_MASHINE_PRE_WORK_DIALOG_LINE_1769942062079_JYHWVE,This mashine just gave up.,
GGJ2026_DIALOG_COFFE_MASHINE_PRE_WORK_DIALOG_LINE_1769942154735_ZARYN0,I don't need another coffee.,
GGJ2026_DIALOG_COFFE_MASHINE_PRE_WORK_DIALOG_LINE_1769942434774_CGQSTI,Nothing I can do about it. Hopefully someone will fix it.,
GGJ2026_DIALOG_COFFE_MASHINE_PRE_WORK_DIALOG_LINE_1769942498102_DHQTJQ,Thats it! I had enough!,
GGJ2026_DIALOG_COFFE_MASHINE_PRE_WORK_DIALOG_LINE_1769942511999_RJK4DB,You take your phone and call the support hotline.,
GGJ2026_DIALOG_COFFE_MASHINE_PRE_WORK_DIALOG_LINE_1769942526912_LVLGFD,The callcenter supporter never had a chance..,
GGJ2026_DIALOG_COFFE_MASHINE_PRE_WORK_DIALOG_LINE_1769942547509_AWSLJY,You scream into your phone. Anger burning in your heart.,
GGJ2026_DIALOG_COFFE_MASHINE_PRE_WORK_DIALOG_LINE_1769942587750_NB3D1S,After some time you let it all out. The flames boil down.,
GGJ2026_DIALOG_COFFE_MASHINE_PRE_WORK_DIALOG_LINE_1769942614075_SGY7DM,On the other end of the line is just silence.,
GGJ2026_DIALOG_COFFE_MASHINE_PRE_WORK_DIALOG_LINE_1769942645448_A3GT3V,You end the call and return to more important matters.,
GGJ2026_DIALOG_COFFE_MASHINE_PRE_WORK_DIALOG_LINE_1769942684590_R65BPW,And a silent sob...,
GGJ2026_DIALOG_COFFE_MASHINE_PRE_WORK_DIALOG_LINE_1769942696973_JHKOAE,I will take care now.,
GGJ2026_DIALOG_COFFE_MASHINE_PRE_WORK_DIALOG_LINE_1769942712806_EBPMP8,You call the support hotline.,
GGJ2026_DIALOG_COFFE_MASHINE_PRE_WORK_DIALOG_LINE_1769942724997_3OX8DG,Calmly you explain the problem with the mashine to the support.,
GGJ2026_DIALOG_COFFE_MASHINE_PRE_WORK_DIALOG_LINE_1769942764341_00AQU1,Together you identify the problem. The support manager gives you detailed instructions of what to do.,
GGJ2026_DIALOG_COFFE_MASHINE_PRE_WORK_DIALOG_LINE_1769942815329_G6CDQ7,after some minutes of tinkering witht he mashine it roars to life and starts the cleaning process.,
GGJ2026_DIALOG_COFFE_MASHINE_PRE_WORK_DIALOG_LINE_1769942851711_6DRCKA,You did it! What a relief!,
GGJ2026_DIALOG_COFFE_MASHINE_PRE_WORK_DIALOG_LINE_1769942899337_K6C2A7,In the end you get your coffee.,
GGJ2026_DIALOG_COFFE_MASHINE_PRE_WORK_DIALOG_LINE_1769943414970_9ATG5C,A warm feeling of being helpfull stirs inside you.,
GGJ2026_DIALOG_COFFE_MASHINE_PRE_WORK_DIALOG_LINE_1769943442538_BKL0N8,You anger stirs up again just by seeing the blinking lights.,
GGJ2026_DIALOG_COFFE_MASHINE_PRE_WORK_OPTION_1769942339253_4A6QH7,Just leave.,
GGJ2026_DIALOG_COFFE_MASHINE_PRE_WORK_OPTION_1769942351479_TZNXHW,Complain angrily.,
GGJ2026_DIALOG_COFFE_MASHINE_PRE_WORK_OPTION_1769942371967_MK9NWG,I will contact the support.,
GGJ2026_INTERACTION_GO_TO_APARTMENT,Go to home,Nach Hause gehen
GGJ2026_INTERACTION_GO_TO_OFFICE,Go to office,Zum Büro gehen
GGJ2026_INTERACTION_GO_TO_OFFICE_KITCHEN,Enter kitchen,Küche betreten
GGJ2026_INTERACTION_INTERACT_BED,Sleep,Schlafen
GGJ2026_INTERACTION_INTERACT_BOSS,Talk to boss,Mit Chefin reden
GGJ2026_INTERACTION_INTERACT_CHILD,Talk to child,Mit Kind reden
GGJ2026_INTERACTION_INTERACT_COFFEE_MACHINE,Use coffee machine,Kaffeemaschine benutzen
GGJ2026_INTERACTION_INTERACT_DOG,Look at dog,Hund anschauen
GGJ2026_INTERACTION_INTERACT_MY_DESK,Start work,Arbeit beginnen
GGJ2026_INTERACTION_INTERACT_OMMSCHEN,Talk to granny,Mit Ommschen reden
GGJ2026_INTERACTION_INTERACT_PRINTER,Use copy machine,Kopierer benutzen
GGJ2026_INTERACTION_INTERACT_SUPER_MARKT,Enter supermarket,Supermarkt betreten
GGJ2026_INTERACTION_LEAVE_HOME,Leave home,Zuhause verlassen
GGJ2026_INTERACTION_LEAVE_OFFICE,Leave office,Büro verlassen
GGJ2026_INTERACTION_LEAVE_OFFICE_KITCHEN,Leave kitchen,Küche verlassen
GGJ2026_INTERACTION_TALK_TO_COLLEAGUE,Talk to clleague,Mit Kollegen sprechen
GGJ2026_DIALOG_COFFE_MASHINE_DURING_WORK_DIALOG_LINE_1769944677366_W0EZ94,"Nothing has changed. What did you expect.
No one cared. Not even you..",
GGJ2026_DIALOG_COFFE_MASHINE_DURING_WORK_DIALOG_LINE_1769944723507_K12GH0,Finaly. The darm mashine was fixed!,
GGJ2026_DIALOG_COFFE_MASHINE_DURING_WORK_DIALOG_LINE_1769944743161_J7A5AD,you make yourself a coffee.,
GGJ2026_DIALOG_COFFE_MASHINE_DURING_WORK_DIALOG_LINE_1769944755250_7UE7S2,Reluctantly the mashine gobbles up a coffee into your mug.,
GGJ2026_DIALOG_COFFE_MASHINE_DURING_WORK_DIALOG_LINE_1769944783559_WUQOBL,The smell is not as good as it used to.,
GGJ2026_DIALOG_COFFE_MASHINE_DURING_WORK_DIALOG_LINE_1769944805077_5GYO9G,The company just showed up and did something before leaving without a word.,
GGJ2026_DIALOG_COFFE_MASHINE_DURING_WORK_DIALOG_LINE_1769944841084_XQ4LBU,He looks down on his coffee.,
GGJ2026_DIALOG_COFFE_MASHINE_DURING_WORK_DIALOG_LINE_1769944850686_SKMQNA,Don't know if i prefer not having coffee at all..,
GGJ2026_DIALOG_COFFE_MASHINE_DURING_WORK_DIALOG_LINE_1769944869544_XNATLU,You kindof feel the same.,
GGJ2026_DIALOG_COFFE_MASHINE_DURING_WORK_DIALOG_LINE_1769945085044_A5KH7H,Better than nothing i guess.,
GGJ2026_DIALOG_COFFE_MASHINE_DURING_WORK_DIALOG_LINE_1769945096558_KIH9HC,"You kick the mashine.
How does it dare to give you such a bad coffee.",
GGJ2026_DIALOG_COFFE_MASHINE_DURING_WORK_DIALOG_LINE_1769945122799_SLXU1Q,"Strangely the christmal lights lit up again..
You broke the mashine.",
GGJ2026_DIALOG_COFFE_MASHINE_DURING_WORK_DIALOG_LINE_1769945185004_CX1PCD,It may not be safe to drink that.,
GGJ2026_DIALOG_COFFE_MASHINE_DURING_WORK_DIALOG_LINE_1769945205427_NLC8VR,Did the workers poison you?,
GGJ2026_DIALOG_COFFE_MASHINE_DURING_WORK_DIALOG_LINE_1769945500324_CV2ZDH,You dispose the coffee in the sink.,
GGJ2026_DIALOG_COFFE_MASHINE_DURING_WORK_DIALOG_LINE_1769945625329_HJK8FZ,You broke the mashine.,
GGJ2026_DIALOG_COFFE_MASHINE_DURING_WORK_DIALOG_LINE_1769945659898_K549V8,I will not get another coffe.,
GGJ2026_DIALOG_COFFE_MASHINE_DURING_WORK_DIALOG_LINE_1769945834375_MQKGMD,You pour yourself another coffee.,
GGJ2026_DIALOG_COFFE_MASHINE_DURING_WORK_OPTION_1769944880985_I411GB,Accept the bad coffee,
GGJ2026_DIALOG_COFFE_MASHINE_DURING_WORK_OPTION_1769944923796_ZSN9U8,Kick the mashine,
GGJ2026_DIALOG_COFFE_MASHINE_DURING_WORK_OPTION_1769944960368_VP87HO,Throw away the coffee,
GGJ2026_DIALOG_COLLEAGUE_DURING_WORK_DIALOG_LINE_1769946367288_HASG3A,The colleague is surrounded by others hwo are making fun of him.,
GGJ2026_DIALOG_COLLEAGUE_DURING_WORK_DIALOG_LINE_1769946461720_UY6ELK,You are used to this view. The colleague is just so easy to make fun of.,
GGJ2026_DIALOG_COLLEAGUE_DURING_WORK_DIALOG_LINE_1769946777800_IF9WHX,I should better not be involved in this.,
GGJ2026_DIALOG_COLLEAGUE_DURING_WORK_DIALOG_LINE_1769946844680_5JDT37,What if they pick on me next?,
GGJ2026_DIALOG_COLLEAGUE_DURING_WORK_DIALOG_LINE_1769946912021_2FAJ5V,You move on. Too afraid to step up.,
GGJ2026_DIALOG_COLLEAGUE_DURING_WORK_DIALOG_LINE_1769946961960_ZT3C7B,You move on.,
GGJ2026_DIALOG_COLLEAGUE_DURING_WORK_DIALOG_LINE_1769946977679_QLYZJF,Out of nowhere you join in.,
GGJ2026_DIALOG_COLLEAGUE_DURING_WORK_DIALOG_LINE_1769947008011_FMZ862,You are part of the mob now. You feel that you belong here.,
GGJ2026_DIALOG_COLLEAGUE_DURING_WORK_DIALOG_LINE_1769947055701_1UVCJL,Leave me alone!,
GGJ2026_DIALOG_COLLEAGUE_DURING_WORK_DIALOG_LINE_1769947082603_MNDS0G,Please!,
GGJ2026_DIALOG_COLLEAGUE_DURING_WORK_DIALOG_LINE_1769947089009_KNXUIE,We can see tears in the eyes of the colleague.,
GGJ2026_DIALOG_COLLEAGUE_DURING_WORK_DIALOG_LINE_1769947153264_OQQR3J,We continue. Fuled by the reaction of the colleague.,
GGJ2026_DIALOG_COLLEAGUE_DURING_WORK_DIALOG_LINE_1769947183349_1Z1C41,We are one. Against one. That is fair.,
GGJ2026_DIALOG_COLLEAGUE_DURING_WORK_DIALOG_LINE_1769947244393_61I7ST,Thats it! I cant take it anymore!,
GGJ2026_DIALOG_COLLEAGUE_DURING_WORK_DIALOG_LINE_1769947256415_SZOJKR,He storms of. We have won.,
GGJ2026_DIALOG_COLLEAGUE_DURING_WORK_DIALOG_LINE_1769947276516_EK835O,But all good things come to an end.,
GGJ2026_DIALOG_COLLEAGUE_DURING_WORK_DIALOG_LINE_1769947297517_NH3QTB,After a short quiet time we disband.,
GGJ2026_DIALOG_COLLEAGUE_DURING_WORK_DIALOG_LINE_1769947330270_C6P78J,You are you again.,
GGJ2026_DIALOG_COLLEAGUE_DURING_WORK_DIALOG_LINE_1769947357431_A34B3A,Please stop already!,
GGJ2026_DIALOG_COLLEAGUE_DURING_WORK_DIALOG_LINE_1769947370167_H8Y9YJ,The mob continues the barages of hurtfull comments.,
GGJ2026_DIALOG_COLLEAGUE_DURING_WORK_DIALOG_LINE_1769947408327_QOZIIM,Enougth already!,
GGJ2026_DIALOG_COLLEAGUE_DURING_WORK_DIALOG_LINE_1769947417477_H3W2U6,"You'r voice rips through the room.
All eyes are on you. In shock? With hope?",
GGJ2026_DIALOG_COLLEAGUE_DURING_WORK_DIALOG_LINE_1769947511623_YEG5NY,Will you just leave it be? He's had enouth of your behaviour and so do I!,
GGJ2026_DIALOG_COLLEAGUE_DURING_WORK_DIALOG_LINE_1769947554151_Z31HDQ,You are just a bunch of hatefull people with nothing better to do than to pick on him!,
GGJ2026_DIALOG_COLLEAGUE_DURING_WORK_DIALOG_LINE_1769947607085_LZV6WQ,The mob tries to hold against you. But you overwelm them easily.,
GGJ2026_DIALOG_COLLEAGUE_DURING_WORK_DIALOG_LINE_1769947818023_5OP2V3,"The mob is one, but you and your colleague are two.",
GGJ2026_DIALOG_COLLEAGUE_DURING_WORK_DIALOG_LINE_1769947916038_I7T45C,After a short quiet time the mob disbands.,
GGJ2026_DIALOG_COLLEAGUE_DURING_WORK_DIALOG_LINE_1769948174422_QQWG6H,Thank you for stepping up.,
GGJ2026_DIALOG_COLLEAGUE_DURING_WORK_DIALOG_LINE_1769948265695_NR3F1S,I hope this will not backfire.,
GGJ2026_DIALOG_COLLEAGUE_DURING_WORK_DIALOG_LINE_1769948280130_BVOTY5,But if feels good right now.,
GGJ2026_DIALOG_COLLEAGUE_DURING_WORK_DIALOG_LINE_1769948369558_QRXYQ5,Thank you again for stepping up.,
GGJ2026_DIALOG_COLLEAGUE_DURING_WORK_OPTION_1769946573741_UPSD58,Just leave them be.,
GGJ2026_DIALOG_COLLEAGUE_DURING_WORK_OPTION_1769946585512_QV4HI1,Join in.,
GGJ2026_DIALOG_COLLEAGUE_DURING_WORK_OPTION_1769946626118_7HT0F2,Better not get involved,
GGJ2026_DIALOG_COLLEAGUE_DURING_WORK_OPTION_1769946662617_9R7IXN,Yell at the otehrs.,
GGJ2026_DIALOG_BED_DIALOG_LINE_1769947099863_P6SEEK,Your bed looks very inviting. It's your favorite piece of furniture.,
GGJ2026_DIALOG_BED_DIALOG_LINE_1769947189337_Z90A1B,Home sweet home...,
GGJ2026_DIALOG_BED_OPTION_1769947166668_NFN26W,Sleep.,
GGJ2026_DIALOG_BED_OPTION_1769947210070_CVKHBT,Not yet...,
GGJ2026_DIALOG_BOSS_POST_WORK_DIALOG_LINE_1769947497541_BGNFEG,You're still here?,
GGJ2026_DIALOG_BOSS_POST_WORK_DIALOG_LINE_1769947728838_CJ5V32,Go on home then! ,
GGJ2026_DIALOG_BOSS_POST_WORK_DIALOG_LINE_1769947756170_O5PFU1,Oh!,
GGJ2026_DIALOG_BOSS_POST_WORK_DIALOG_LINE_1769947772455_3QNQ2W,She looks surprised but happy.,
GGJ2026_DIALOG_BOSS_POST_WORK_DIALOG_LINE_1769947783438_XA0AKW,Why thank you!,
GGJ2026_DIALOG_BOSS_POST_WORK_DIALOG_LINE_1769947798195_B4V11O,Don't expect special treatment though!,
GGJ2026_DIALOG_BOSS_POST_WORK_OPTION_1769947606934_9QEUDC,...,
GGJ2026_DIALOG_BOSS_POST_WORK_OPTION_1769947648633_LB01I6,Thanks for your hard work always.,
GGJ2026_DIALOG_SUPERMARKET_POST_WORK_DIALOG_LINE_1769948196080_7LCJC0,It's really convenient you always come by this store on your way home.,
GGJ2026_DIALOG_SUPERMARKET_POST_WORK_DIALOG_LINE_1769948248391_5R1VZW,Maybe you should get something.,
GGJ2026_DIALOG_SUPERMARKET_POST_WORK_DIALOG_LINE_1769948394186_47IW3E,You get your stuff and queue up. This store's always busy around this time.,
GGJ2026_DIALOG_SUPERMARKET_POST_WORK_DIALOG_LINE_1769948432846_TNG0GU,Eventually you make it outside.,
GGJ2026_DIALOG_SUPERMARKET_POST_WORK_OPTION_1769948267747_WPCNQ4,Get groceries.,
GGJ2026_DIALOG_SUPERMARKET_POST_WORK_OPTION_1769948274622_L7JYFU,Get snacks.,
GGJ2026_DIALOG_SUPERMARKET_POST_WORK_OPTION_1769948280318_ODDEO8,Buy nothing.,
GGJ2026_DIALOG_CHILD_DIALOG_LINE_1769948855751_HM8C2V,Hey mister.,
GGJ2026_DIALOG_CHILD_DIALOG_LINE_1769948862804_JR5WFZ,What are you doing?,
GGJ2026_DIALOG_CHILD_DIALOG_LINE_1769949097565_WNODPQ,...,
GGJ2026_DIALOG_CHILD_DIALOG_LINE_1769949098000_A5GDS1,Hey mister!,
GGJ2026_DIALOG_CHILD_DIALOG_LINE_1769949195518_KQE90G,...,
GGJ2026_DIALOG_CHILD_DIALOG_LINE_1769949202483_XMP73G,Hey!,
GGJ2026_DIALOG_CHILD_DIALOG_LINE_1769949249371_6P3HLU,"You can hear her crying, but you keep walking.",
GGJ2026_DIALOG_CHILD_DIALOG_LINE_1769949511397_V19M0L,Hey.,
GGJ2026_DIALOG_CHILD_DIALOG_LINE_1769949511838_QNNBHH,Play with me!,
GGJ2026_DIALOG_CHILD_DIALOG_LINE_1769949617026_OUKB76,You play with her for a bit.,
GGJ2026_DIALOG_CHILD_DIALOG_LINE_1769949693289_784Z7Z,Hahaha!,
GGJ2026_DIALOG_CHILD_DIALOG_LINE_1769949713967_9UZMPY,Thanks mister! That was fun!,
GGJ2026_DIALOG_CHILD_DIALOG_LINE_1769949784244_EPP5GJ,Bye kid.,
GGJ2026_DIALOG_CHILD_DIALOG_LINE_1769949821789_RKMPYE,Bye bye mister! Let's play again!,
GGJ2026_DIALOG_CHILD_DIALOG_LINE_1769949841839_ZOD7IX,"Where are your mom and dad, kid?",
GGJ2026_DIALOG_CHILD_DIALOG_LINE_1769949918430_HOZYUD,The smile slips off the child's face.,
GGJ2026_DIALOG_CHILD_DIALOG_LINE_1769949952643_01OF0I,"I-, I don't knooooow.",
GGJ2026_DIALOG_CHILD_DIALOG_LINE_1769949973891_FKCEBP,Then she stars wailing.,
GGJ2026_DIALOG_CHILD_DIALOG_LINE_1769949996020_PT7LDU,I want my maamaaa.,
GGJ2026_DIALOG_CHILD_DIALOG_LINE_1769950007821_QKQHTY,You don't know what to do.,
GGJ2026_DIALOG_CHILD_DIALOG_LINE_1769950023952_95LB9E,"You try to calm her down, but it's not really working",
GGJ2026_DIALOG_CHILD_DIALOG_LINE_1769950050573_7WXYOU,The passersby are looking at you....,
GGJ2026_DIALOG_CHILD_DIALOG_LINE_1769950146811_R85TRZ,You quickly retreat.,
GGJ2026_DIALOG_CHILD_DIALOG_LINE_1769950157247_TMY4D5,You can hear someone else start talking to the child. They are surely much better equipped to deal with this than you are.,
GGJ2026_DIALOG_CHILD_DIALOG_LINE_1769950218647_2L3RM3,You call the police and explain the situation.,
GGJ2026_DIALOG_CHILD_DIALOG_LINE_1769950234321_39SDIR,The parents have already filed a report and are quickly found.,
GGJ2026_DIALOG_CHILD_DIALOG_LINE_1769950260168_T14Z67,'Baby! I was so worried!',
GGJ2026_DIALOG_CHILD_DIALOG_LINE_1769950327744_BH7DY1,You wait with the child who has calmed down a bit by now.,
GGJ2026_DIALOG_CHILD_DIALOG_LINE_1769950359014_U4PD8Y,"Your mom will be here son, kid.",
GGJ2026_DIALOG_CHILD_DIALOG_LINE_1769950374094_V7OJLR,Uhuh....,
GGJ2026_DIALOG_CHILD_DIALOG_LINE_1769950487742_1LPZAX,"Finally a car turns into the parking lot, wheels screeching.",
GGJ2026_DIALOG_CHILD_DIALOG_LINE_1769950518976_0I8PWS,A woman comes tumbling out and rushes towards you.,
GGJ2026_DIALOG_CHILD_DIALOG_LINE_1769950552071_FN0808,Mama!,
GGJ2026_DIALOG_CHILD_DIALOG_LINE_1769950561930_HXBZEA,The child starts crying again as they hug.,
GGJ2026_DIALOG_CHILD_DIALOG_LINE_1769950574903_J96YOP,'Thank you for contacting the police and helping us find our baby!',
GGJ2026_DIALOG_CHILD_DIALOG_LINE_1769950628915_2P5RFR,'We'll be forever in your debt.',
GGJ2026_DIALOG_CHILD_DIALOG_LINE_1769950665214_U4WT5G,You talk for a bit and exchange numbers before saying goodbye. The child is half asleep in her mother's arms.,
GGJ2026_DIALOG_CHILD_DIALOG_LINE_1769950687577_GUEYGS,"Bye kid. Keep close to your parents from now on, yeah?",
GGJ2026_DIALOG_CHILD_DIALOG_LINE_1769950773479_I61DP2,"Uhuh. Bye mister, let's play again...",
GGJ2026_DIALOG_CHILD_OPTION_1769948898286_56OVQB,Ignore her,
GGJ2026_DIALOG_CHILD_OPTION_1769948910963_XQ6DPB,Talk to her.,
GGJ2026_DIALOG_CHILD_OPTION_1769948939133_UZB1OR,Offer help.,
GGJ2026_DIALOG_CHILD_OPTION_1769949569176_CN6YXX,Play with her.,
GGJ2026_DIALOG_CHILD_OPTION_1769949739948_S8KGIX,You wonder why she's here alone...,
GGJ2026_DIALOG_CHILD_OPTION_1769949762131_AD0MTE,Say goodbye.,
GGJ2026_DIALOG_CHILD_OPTION_1769950047100_F7K7YC,Call the police.,
GGJ2026_DIALOG_CHILD_OPTION_1769950108207_5OSPIL,Leave.,
